Job_Title,Skills_Found,JD_Text,URL
Android Developer (Java) - Từ 2 Năm Kinh Nghiệm Phát Triển Ứng Dụng Android Bằng Java.,"java, api","Yêu cầu ứng viên

• Tốt nghiệp đại học hoặc cao đẳng chuyên ngành Công nghệ thông tin, Khoa học máy tính hoặc tương đương.

• Có từ 2 năm kinh nghiệm phát triển ứng dụng Android bằng Java.

• Hiểu rõ vòng đời Activity, Fragment, Service, Broadcast Receiver, Content Provider.

• Thành thạo Android SD...",https://www.topcv.vn/viec-lam/android-developer-java-tu-2-nam-kinh-nghiem-phat-trien-ung-dung-android-bang-java/1946125.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wAN1NnuoXqmfF6fjN6GYwnIv70rc1DH33VfEY9fB_1763584096
Lập Trình FE (NextJS/ NuxtJS),,"Yêu cầu ứng viên

· Có từ 2 năm kinh nghiệm trở lên làm việc với NextJS (NuxtJS).

· Có kinh nghiệm làm việc với Git, Jira, hoặc quy trình Agile/Scrum.

· Có khả năng làm việc độc lập và làm việc nhóm tốt, chủ động trong công việc.

· Ưu tiên ứng viên có kinh nghiệm hoặc có thể đảm nhiệm thêm backen...",https://www.topcv.vn/viec-lam/lap-trinh-fe-nextjs-nuxtjs/1955721.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wAN1NnuoXqmfF6fjN6GYwnIv70rc1DH33VfEY9fB_1763584096
Chuyên Viên Business Analyst (BA)/ Phân Tích Nghiệp Vụ (2 Năm Kinh Nghiệm),,"Yêu cầu ứng viên

- Tốt nghiệp Cao đẳng/ Đại học chuyên ngành Công nghệ thông tin, Kinh tế hoặc
- Có kinh nghiệm làm BA từ 2 năm trở lên.
- Kỹ năng giao tiếp, làm việc nhóm và thuyết trình ý tưởng hiệu quả.
- Có khả năng tổng hợp thông tin, phân tích và giải quyết vấn đề tốt.
- Có kiến thức về quy t...",https://www.topcv.vn/viec-lam/chuyen-vien-business-analyst-ba-phan-tich-nghiep-vu-2-nam-kinh-nghiem/1535691.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wAN1NnuoXqmfF6fjN6GYwnIv70rc1DH33VfEY9fB_1763584096
"Front-End Developer Shopify (Up To $2,000/Month)","javascript, react, english","Yêu cầu ứng viên
2–4 years of experience in front-end web development (Shopify preferred).
Solid knowledge of Shopify Liquid, HTML5, CSS3, JavaScript/TypeScript
Hands-on experience with React / Next.js or other headless architectures.
Strong understanding of responsive design, accessibility, and SEO...",https://www.topcv.vn/viec-lam/front-end-developer-shopify-up-to-2-000-month/1948477.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wAN1NnuoXqmfF6fjN6GYwnIv70rc1DH33VfEY9fB_1763584096
AI Model Management Platform Application Tester,"python, testing, english","Yêu cầu ứng viên
Minimum 4 years of experience in application testing and Software Quality Assurance (QA).
Proficient understanding of test case design, execution, and the defect management process.
Experience performing Regression Testing and effectively managing quality in a high-frequency deploym...",https://www.topcv.vn/viec-lam/ai-model-management-platform-application-tester/1956581.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wAN1NnuoXqmfF6fjN6GYwnIv70rc1DH33VfEY9fB_1763584096
Thực Tập Sinh Công Nghệ Thông Tin Có Lương,php,"Yêu cầu ứng viên
Có kiến thức cơ bản về web PHP, app, web design
Kỹ năng giao tiếp tốt
Kỹ năng giải quyết vấn đề và làm việc theo nhóm.
Có khả năng làm việc độc lập, chủ động, trách nhiệm, nhiệt tình trong công việc, trung thực, chăm chỉ.
Có khả năng học hỏi và làm việc trong môi trường áp lực cao.
...",https://www.topcv.vn/viec-lam/thuc-tap-sinh-cong-nghe-thong-tin-co-luong/1947539.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wAN1NnuoXqmfF6fjN6GYwnIv70rc1DH33VfEY9fB_1763584096
Tester/QC Automation (Thu Nhập 14-18TR),"python, api, testing","Yêu cầu ứng viên
Có từ 3 năm kinh nghiệm kiểm thử phần mềm, trong đó ít nhất 2 năm làm về Automation testing.
Thành thạo Python để viết script kiểm thử.
Có kinh nghiệm kiểm thử API sử dụng Postman, Requests, Pytest hoặc các công cụ tương đương.
Có kinh nghiệm thực tế kiểm thử frontend sử dụng Seleni...",https://www.topcv.vn/viec-lam/tester-qc-automation-thu-nhap-14-18tr/1819268.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wAN1NnuoXqmfF6fjN6GYwnIv70rc1DH33VfEY9fB_1763584096
"Middle .NET System Engineer (Thu Nhập: $1,200 – $2,000) Tại Hồ Chí Minh","c#, c, api","Yêu cầu ứng viên
4+ năm kinh nghiệm .NET (VB.NET hoặc C#, WinForms).
Thành thạo ASP.NET MVC, Web API, LINQ.
Tư duy logic, chủ động, có trách nhiệm.
Mindset “can-do”, tinh thần phát triển bản thân.

Ưu tiên

Nhật ngữ N4 trở lên.
ActiveReports
AWS (có kinh nghiệm hoặc chứng chỉ)
Hiểu cách làm việc với...",https://www.topcv.vn/viec-lam/middle-net-system-engineer-thu-nhap-1-200-2-000-tai-ho-chi-minh/1952427.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wAN1NnuoXqmfF6fjN6GYwnIv70rc1DH33VfEY9fB_1763584096
IT Business Analyst (BA),"sql, cloud, business analyst, communication, problem solving, english","Yêu cầu ứng viên

● Bachelor’s degree in Business Administration, Computer Science, Information Technology, or a related field.

● At least 3 years of experience as an IT Business Analyst in software development projects.

● Strong understanding of Agile methodologies (Scrum, Kanban) and experience ...",https://www.topcv.vn/viec-lam/it-business-analyst-ba/1951909.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wAN1NnuoXqmfF6fjN6GYwnIv70rc1DH33VfEY9fB_1763584096
"IT Project Manager (Regulatory Banking Projects, Mandarin Fluent)","project management, communication, english","Yêu cầu ứng viên

Required Qualifications:

5–7 years of experience in project or product management.
Proven track record in regulatory projects; Financial Services Regulatory experience is highly preferred.
Demonstrated experience working with software development teams in a project management capa...",https://www.topcv.vn/viec-lam/it-project-manager-regulatory-banking-projects-mandarin-fluent/1955193.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wAN1NnuoXqmfF6fjN6GYwnIv70rc1DH33VfEY9fB_1763584096
