Job_Title,Skills_Found,JD_Text,URL
System Engineer (Linux Operation/ DBA),"nginx, apache, prometheus, ubuntu, centos, mariadb, oracle, vmware, mysql, grafana, zabbix, postgresql","Yêu cầu ứng viên

System:

Có ít nhất 1 – 2 năm kinh nghiệm vận hành hệ thống (CentOS, Ubuntu, RedHat)
Có kinh nghiệm sử dụng các công cụ giám sát (Zabbix, Grafana, Prometheus, ELK,...)
Có kinh nghiệm...",https://www.topcv.vn/viec-lam/system-engineer-linux-operation-dba/1939839.html?ta_source=JobSearchList_LinkDetail&u_sr_id=KW0jG5PoPB9RO7JaQsbFxWiZIMpIIPGMGZFxboiO_1763294576
Kỹ Sư/Nhân Viên Chất Lượng - QA/QC Engineer,"qc, english","Yêu cầu ứng viên

- Have a bachelor’s in engineering (Mechanical/Electrical/Controls/Automotive/...)
- Can communicate in English
- Fluent in Auto Cad, Excel, Word, and PowerPoint.
- Having knowledge ...",https://www.topcv.vn/viec-lam/ky-su-nhan-vien-chat-luong-qa-qc-engineer/1947620.html?ta_source=JobSearchList_LinkDetail&u_sr_id=KW0jG5PoPB9RO7JaQsbFxWiZIMpIIPGMGZFxboiO_1763294612
Senior Business Analyst (ERP System),"waterfall, ux, giao tiếp, confluence, ui, đàm phán, ui/ux, tiếng anh, jira, ba, erp, thuyết trình, agile, sap, scrum, tư duy logic","Yêu cầu ứng viên

Trình độ: Tốt nghiệp Đại học trở lên chuyên ngành Hệ thống thông tin quản lý, Công nghệ thông tin, Toán tin hoặc các ngành liên quan.

Kinh nghiệm:

Tối thiểu 5 năm kinh nghiệm ở vị ...",https://www.topcv.vn/viec-lam/senior-business-analyst-erp-system/1940992.html?ta_source=JobSearchList_LinkDetail&u_sr_id=KW0jG5PoPB9RO7JaQsbFxWiZIMpIIPGMGZFxboiO_1763294576
"PHP Backend Developer (PHP Frameworks, MySQL/PostgreSQL)","css3, giao tiếp, laravel, tiếng anh, php, docker, github, javascript, mysql, làm việc nhóm, html5, postgresql","Yêu cầu ứng viên
Tối thiểu 1 năm kinh nghiệm thực tế trong lập trình backend với ngôn ngữ PHP.
Có kinh nghiệm về PHP Framework (Laravel, CakePHP, …) hoặc Core PHP.
Có kinh nghiệm về database: MySQL ho...",https://www.topcv.vn/viec-lam/php-backend-developer-php-frameworks-mysql-postgresql/1937096.html?ta_source=JobSearchList_LinkDetail&u_sr_id=KW0jG5PoPB9RO7JaQsbFxWiZIMpIIPGMGZFxboiO_1763294589
IT Fullstack,"webgl, html, làm việc nhóm, graphql, css, sáng tạo, rest, api, three.js, reactjs, javascript, next.js, giải quyết vấn đề, react","Yêu cầu ứng viên

- Có kinh nghiệm thực chiến từ 5 năm trở lên ở vị trí IT Fullstack, Creative Technologist hoặc Frontend-focused Experiential Developer, đặc biệt ưu tiên kinh nghiệm trong môi trường ...",https://www.topcv.vn/viec-lam/it-fullstack/1945460.html?ta_source=JobSearchList_LinkDetail&u_sr_id=KW0jG5PoPB9RO7JaQsbFxWiZIMpIIPGMGZFxboiO_1763294616
IT Project Manager (PM),giao tiếp,"Yêu cầu ứng viên

Tốt nghiệp Đại học chuyên ngành CNTT, Hệ thống thông tin, Quản trị dự án hoặc ngành liên quan.

- Có ít nhất 1 năm kinh nghiệm ở vị trí tương đương.

- Thành thạo kỹ năng lập kế hoạc...",https://www.topcv.vn/viec-lam/it-project-manager-pm/1738485.html?ta_source=JobSearchList_LinkDetail&u_sr_id=KW0jG5PoPB9RO7JaQsbFxWiZIMpIIPGMGZFxboiO_1763294612
Project Manager - Chuyên Gia Quản Trị Dự Án Công Nghệ Thông Tin,"ngân hàng, waterfall, giao tiếp, tiếng anh, agile, tài chính","Yêu cầu ứng viên
Tốt nghiệp Đại học trở lên các chuyên ngành Công nghệ thông tin/ Điện tử viễn thông/ Toán tin
Có chứng chỉ quản lý dự án quốc tế như PMP, Prince 2, ACP, ...
Kinh nghiệm công tác: Tối ...",https://www.topcv.vn/viec-lam/project-manager-chuyen-gia-quan-tri-du-an-cong-nghe-thong-tin/1953086.html?ta_source=JobSearchList_LinkDetail&u_sr_id=KW0jG5PoPB9RO7JaQsbFxWiZIMpIIPGMGZFxboiO_1763294599
"Embedded Systems Engineer (MCU, RTOS, Linux OS)","c++, python, unix, linux, english, git, c, svn, communication","Yêu cầu ứng viên

MUST HAVE

Bachelor’s Degree or above in Electronic Engineering, Telecommunication, Computer Science, Computer,...
Strong in C/C++ programming for Embedded Development.
Experience in...",https://www.topcv.vn/viec-lam/embedded-systems-engineer-mcu-rtos-linux-os/1448528.html?ta_source=JobSearchList_LinkDetail&u_sr_id=KW0jG5PoPB9RO7JaQsbFxWiZIMpIIPGMGZFxboiO_1763294603
.Net Developer - Upto 20M,"gitlab, jquery, html, sql, css, bootstrap, linux, redis, git, github, javascript, sql server, chủ động, làm việc nhóm, iis, .net","Yêu cầu ứng viên
Kinh nghiệm phát triển dự án bằng .Net tối thiểu 2 năm trở lên
Có kiến thức nền tảng và kinh nghiệm về: Javascript, JQuery, HTML,CSS, Bootstrap
Có hiểu biết về các công nghệ Redis, Re...",https://www.topcv.vn/viec-lam/net-developer-upto-20m/1947457.html?ta_source=JobSearchList_LinkDetail&u_sr_id=KW0jG5PoPB9RO7JaQsbFxWiZIMpIIPGMGZFxboiO_1763294585
Odoo Developer,"html, python, giao tiếp, css, crm, devops, docker, git, javascript, ci/cd, làm việc nhóm, giải quyết vấn đề, postgresql","Yêu cầu ứng viên

Tối thiểu 2-3 năm kinh nghiệm lập trình với Odoo (phiên bản 16 trở lên)
Thành thạo Python và các framework phát triển Odoo
Kinh nghiệm làm việc với PostgreSQL
Hiểu biết vững về các m...",https://www.topcv.vn/viec-lam/odoo-developer/1952255.html?ta_source=JobSearchList_LinkDetail&u_sr_id=KW0jG5PoPB9RO7JaQsbFxWiZIMpIIPGMGZFxboiO_1763294599
