Subject,Score,Grade
Elementary Business English,8.4,A+
Pre-Intermediate Business English,8.4,A+
Intermediate Business English,7.9,B+
Upper-Intermediate Business English,8.1,A
Japanese Elementary 1,9.4,A+
Japanese Elementary 2,9.1,A+
Japanese Elementary 3,9.4,A+
Japanese Elementary 4,9.2,A+
Japanese Elementary 5,9.0,A+
Japanese Elementary 6,9.0,A+
Advanced Mathematics 1,8.3,A
Advanced Mathematics 2,8.5,A
Discrete Mathematics,7.7,B+
Probability and Applied Statistics,9.0,A+
Principles of Marxism Leninism,9.1,A+
Ho Chi Minh Ideology,9.2,A+
Revolutionary Line of CPV,9.2,A+
Programming with Alice,8.4,A+
Programming Fundamental,9.1,A+
Introduction to Computing,8.8,A+
Object Oriented Programming,8.9,A+
Data Structure and Algorithms,7.4,B
Operating Systems,8.4,A
Computer Network,8.3,A
Introduction to Software Engineering,8.0,B+
Introduction to Databases,8.1,A
Core Java,8.4,A
Advanced Java,9.2,A+
C# and .NET,9.3,A+
Software Requirements,9.1,A+
Software Quality Assurance & Testing,8.3,A
Human Computer Interaction,8.1,A
Ethics in Information Technology,8.4,A
IT Project Management,7.8,B+
Software Architecture and Design,8.0,B+
Business Communication Skills,8.3,A
Working in Group Skills,9.0,A+
Principles of Accounting and Finance,7.7,B+
E-commerce,9.1,A+
Advanced XML,7.3,B
Advanced Database,8.7,A
Capstone Project,10.0,A+
